name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main,zone,distance_rangsit,distance_khlong_rangsit,distance_lak_hok,distance_rmutt,distance_nbu,distance_bu,distance_tu,distance_rsu
Cafe’ Amazon RM2076,13.9924622,100.6482196,"https://www.google.com/maps/place/Cafe%E2%80%99+Amazon+RM2076/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x311d7e45f9244af5:0x1a7f9d55f416efca!8m2!3d13.9924622!4d100.6482196!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11c2y9nn27?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.2,115,฿1-100 ต่อคน,7.0,oc_500,ci_500,option_500,review_500,rungsit,5.750316157535287,5.526941674211873,6.700224632611766,4.288352923076717,2.5455155101063505,6.479160831419965,9.992976332724613,7.601018079193958
ร้านกาแฟ อเมซอน,13.9893835,100.6344337,"https://www.google.com/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F+%E0%B8%AD%E0%B9%80%E0%B8%A1%E0%B8%8B%E0%B8%AD%E0%B8%99/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x311d7fc1bb1bee0d:0x5f216ed4be5eff69!8m2!3d13.9893835!4d100.6344337!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11g65gq991?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.4,103,฿1-100 ต่อคน,7.0,oc_501,ci_501,option_501,review_501,rungsit,4.259963644113567,4.000615431454195,5.225716308954028,2.8596942246752737,4.071846468327231,6.043251653376961,9.726210985162838,6.097600269730091
Café Amazon สาขา โครงการรังสิตสเตชั่น (สำนักงานใหญ่) (SD4278),14.0075633,100.6148308,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99+(%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88)+(SD4278)/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e2811dcb59b635:0x81802ed557c84083!8m2!3d14.0075633!4d100.6148308!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgELY29mZmVlX3Nob3CqAYQBCg0vZy8xMWJ5ZDBwY3FoCggvbS8wbWdrZxABKgoiBmFtYXpvbig1Mh8QASIbKOS8lyIEL7sy3ijrcqR_il_jQ4wX9kmgJhTpMjoQAiI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9u4AEA!16s%2Fg%2F11rvbghnz_?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",3.5,13,฿100-200 ต่อคน,5.0,oc_502,ci_502,option_502,review_502,rungsit,2.868411929130281,3.431994022603364,5.222182289417486,3.800549173106711,6.185929812958184,3.5592116159720506,7.263149153264138,5.67876211642609
CAFÉ AMAZON รังสิต 200 ปี ซอย 4,13.98906,100.6062081,"https://www.google.com/maps/place/CAF%C3%89+AMAZON+%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95+200+%E0%B8%9B%E0%B8%B5+%E0%B8%8B%E0%B8%AD%E0%B8%A2+4/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e281ee2adf29ed:0xd5106e270bc93952!8m2!3d13.98906!4d100.6062081!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgELY29mZmVlX3Nob3CqAYQBCg0vZy8xMWJ5ZDBwY3FoCggvbS8wbWdrZxABKgoiBmFtYXpvbig1Mh8QASIbKOS8lyIEL7sy3ijrcqR_il_jQ4wX9kmgJhTpMjoQAiI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9u4AEA!16s%2Fg%2F11ssqmsh8t?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.3,12,฿1-100 ต่อคน,5.0,oc_503,ci_503,option_503,review_503,rungsit,1.222328456683437,1.220953436452495,2.9702488888924687,1.91809614232924,7.078127644612297,5.654628230507742,9.252707956998616,3.516978484231532
Café Amazon สาขาม.รังสิต,13.970512,100.6308605,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A1.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x311d7fbfd5365e97:0xd76caabe91a8d649!8m2!3d13.970512!4d100.6308605!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgELY29mZmVlX3Nob3CqAYQBCg0vZy8xMWJ5ZDBwY3FoCggvbS8wbWdrZxABKgoiBmFtYXpvbig1Mh8QASIbKOS8lyIEL7sy3ijrcqR_il_jQ4wX9kmgJhTpMjoQAiI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9u4AEA!16s%2Fg%2F11frnvpx38?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",3.5,6,,,oc_504,ci_504,option_504,review_504,rungsit,4.460948709132514,3.7044896039507256,4.173141742688375,1.882750259429114,5.291261962735301,7.91615965169153,11.637719380777469,5.196244430113926
Café Amazon สาขา HomePro ฟิวเจอร์ปาร์ค รังสิต (SD4344),13.9939544,100.6153042,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+HomePro+%E0%B8%9F%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%88%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84+%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95+(SD4344)/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e2814488e99bbd:0x12bbf54f8fd5946!8m2!3d13.9939544!4d100.6153042!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11svt_1n6w?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",3.0,3,,,oc_505,ci_505,option_505,review_505,rungsit,2.2293147240459263,2.317804056653128,3.973905932530844,2.292042012115924,6.046760998228118,5.072894890560121,8.770570496763613,4.609404269576545
Café Amazon สาขา หมู่บ้านรัตนโกสินทร์ 200 ปี (SD3234),13.9878005,100.6098586,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%82%E0%B8%81%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C+200+%E0%B8%9B%E0%B8%B5+(SD3234)/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e281f9025dd72d:0xb382974b88bd8750!8m2!3d13.9878005!4d100.6098586!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11ss5phvjt?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.2,9,฿1-100 ต่อคน,4.0,oc_506,ci_506,option_506,review_506,rungsit,1.6329987627527065,1.4453806421222264,3.0729611423673244,1.6528911409568317,6.709146159527196,5.75860882541149,9.403616803739352,3.720684720034676
คาเฟ่ อเมซอน สน.PTTRM สาขา บางพูน 1,13.9851766,100.5981675,"https://www.google.com/maps/place/%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88+%E0%B8%AD%E0%B9%80%E0%B8%A1%E0%B8%8B%E0%B8%AD%E0%B8%99+%E0%B8%AA%E0%B8%99.PTTRM+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9E%E0%B8%B9%E0%B8%99+1/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e281c06d80ab67:0xc5859d4ee35e74ea!8m2!3d13.9851766!4d100.5981675!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11c5zpmb6n?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.6,5,,,oc_507,ci_507,option_507,review_507,rungsit,0.6775473114219169,0.4454673791713614,2.2288316453436217,2.124033796342371,8.00159813171465,6.244242960947144,9.71772110283227,2.610701363044766
Café Amazon ESC PARK RANGSIT,14.0186232,100.6054669,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+ESC+PARK+RANGSIT/@14.0284274,100.6010715,13z/data=!4m10!1m2!2m1!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIEFtYXpvbg!3m6!1s0x30e28170115f06e9:0x76966466644b4238!8m2!3d14.0186232!4d100.6054669!15sCiLguITguKXguK3guIfguKvguJnguLbguYjguIcgQW1hem9uIgOIAQFaJSIj4LiE4Lil4Lit4LiHIOC4q-C4meC4tuC5iOC4hyBhbWF6b26SAQRjYWZlqgFxCg0vZy8xMWJ5ZDBwY3FoCggvbS8wbWdrZxABKgoiBmFtYXpvbig1Mh8QASIbagVeYqnvBqGVnaLrunn7YGDJfTbOZ8zR5-2sMicQAiIj4LiE4Lil4Lit4LiHIOC4q-C4meC4tuC5iOC4hyBhbWF6b27gAQA!16s%2Fg%2F11rxqhlpzc?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.6,30,฿1-100 ต่อคน,6.0,oc_800,ci_800,option_800,review_800,krongone,3.3345531759439866,4.234706530171689,6.026922001478236,5.105557162832175,7.4722067120580915,2.45325655623755,5.965241856824082,6.236819017453934
Café Amazon ซอยคุณพระ คลองหลวง 27,14.0492876,100.613608,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%9E%E0%B8%A3%E0%B8%B0+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87+27/@14.0284274,100.6010715,13z/data=!4m10!1m2!2m1!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIEFtYXpvbg!3m6!1s0x30e28144c2302b5b:0x32df0a5bf7220475!8m2!3d14.0492876!4d100.613608!15sCiLguITguKXguK3guIfguKvguJnguLbguYjguIcgQW1hem9uIgOIAQFaJSIj4LiE4Lil4Lit4LiHIOC4q-C4meC4tuC5iOC4hyBhbWF6b26SAQRjYWZlqgFxCg0vZy8xMWJ5ZDBwY3FoCggvbS8wbWdrZxABKgoiBmFtYXpvbig1Mh8QASIbagVeYqnvBqGVnaLrunn7YGDJfTbOZ8zR5-2sMicQAiIj4LiE4Lil4Lit4LiHIOC4q-C4meC4tuC5iOC4hyBhbWF6b27gAQA!16s%2Fg%2F11hf4rc16_?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",3.7,15,,,oc_801,ci_801,option_801,review_801,krongone,6.847906516483266,7.751103522757314,9.547601665363674,8.438018949013326,8.470897662102965,1.09072089391367,2.69646679120612,9.73247873437234
