name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main,zone,distance_rangsit,distance_khlong_rangsit,distance_lak_hok,distance_rmutt,distance_nbu,distance_bu,distance_tu,distance_rsu,weighted_rating,amazon,option,sentiment,neg,neu,pos
Bearhouse,13.9884915,100.6176507,"https://www.google.com/maps/place/Bearhouse/@13.9796002,100.6087057,13z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LmA4LiX4LiE4LmC4LiZ4LmC4Lil4Lii4Li14Lij4Liy4LiK4Lih4LiH4LiE4Lil4LiY4Lix4LiN4Lia4Li44Lij4Li1IOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!3m6!1s0x30e281132ce3b861:0x5d350b8e598f4c35!8m2!3d13.9884915!4d100.6176507!15sCpgB4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LmA4LiX4LiE4LmC4LiZ4LmC4Lil4Lii4Li14Lij4Liy4LiK4Lih4LiH4LiE4Lil4LiY4Lix4LiN4Lia4Li44Lij4Li1IOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYgiA4gBAVqgASKdAeC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguYDguJfguITguYLguJnguYLguKXguKLguLUg4Lij4Liy4LiKIOC4oeC4h-C4hOC4pSDguJjguLHguI3guJrguLjguKPguLUg4Lio4Li54LiZ4Lii4LmMIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQRjYWZlqgHsAQoNL2cvMTFjczVmaHFjNBABKhMiD-C4hOC4suC5gOC4n-C5iCg1Mh8QASIbU3_v-KDa0rcYbleX6V8z25SeWDr0flCGeFkmMqIBEAIinQHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LmA4LiX4LiE4LmC4LiZ4LmC4Lil4Lii4Li1IOC4o-C4suC4iiDguKHguIfguITguKUg4LiY4Lix4LiN4Lia4Li44Lij4Li1IOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11mvzw1rpl?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.9,639,฿100-200 ต่อคน,177.0,oc_229,ci_229,option_229,review_229,rungsit,2.456943348,2.237412705,3.699115079,1.731936658,5.867324751,5.697272238,9.405528422,4.451269996,4.88262545,0,บริการจัดส่ง สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ รับประทานอาหารคนเดียว กาแฟ ของหวาน ความเป็นกันเอง ทันสมัย อบอุ่น นักศึกษามหาวิทยาลัย มาเป็นกลุ่ม เมนูสำหรับเด็ก เหมาะสำหรับเด็ก มีที่จอดจำนวนมาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย,pos,54.0,36.0,630.0
CURVE CAF',14.0617019,100.6088568,"https://www.google.com/maps/place/CURVE+CAF'/@14.06912,100.5205622,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e27f1340b26087:0xace2e61cde96757e!8m2!3d14.0617019!4d100.6088568!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11rfc9qtm1?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.8,88,฿1-100 ต่อคน,46.0,oc_72,ci_72,option_72,review_72,krongone,8.066746654,9.026007036,10.7974388,9.832138587,9.807250801,2.503755128,1.225520974,10.89699352,4.726918863,0,บริการจัดส่ง การเปิดให้บริการที่หน้าร้าน สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ เหมาะกับการทำงานด้วยแล็ปท็อป กาแฟ ของหวาน ห้องน้ำ ความเป็นกันเอง ทันสมัย อบอุ่น พื้นที่ที่ยอมรับบุคคลข้ามเพศ มาเป็นกลุ่ม เหมาะสำหรับครอบครัว เหมาะสำหรับ LGBTQ+ รับจอง มีที่จอดจำนวนมาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย,pos,0.0,63.0,147.0
Horme Cafe หอม คาเฟ่ สาขารังสิต,13.9947802,100.6180976,"https://www.google.com/maps/place/Horme+Cafe+%E0%B8%AB%E0%B8%AD%E0%B8%A1+%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@14.0120716,100.6313146,13z/data=!4m11!1m3!2m2!1z4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e281bc663f35e3:0x95f09128ecdc5857!8m2!3d13.9947802!4d100.6180976!15sCiLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIWiQiIuC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11y3kwb7l2?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.7,133,฿100-200 ต่อคน,78.0,oc_114,ci_114,option_114,review_114,rungsit,2.542448948,2.614612877,4.236578528,2.424625512,5.740418943,5.006667076,8.720768832,4.899760911,4.665499545,0,ที่นั่งกลางแจ้ง บริการจัดส่ง ไดรฟ์ทรู สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ รับประทานอาหารคนเดียว เหมาะกับการทำงานด้วยแล็ปท็อป กาแฟ อาหารจานเล็ก อาหารเช้า อาหารมื้อสาย อาหารกลางวัน ของหวาน ที่นั่ง ห้องน้ำ ความเป็นกันเอง ทันสมัย อบอุ่น ขาจร นักศึกษามหาวิทยาลัย มาเป็นกลุ่ม รับจอง บัตรเครดิต เมนูสำหรับเด็ก เหมาะสำหรับเด็ก มีที่จอดจำนวนมาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย,neu,0.0,93.0,217.0
Hygge Cafe by StepUp,14.0671475,100.604914,"https://www.google.com/maps/place/Hygge+Cafe+by+StepUp/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e27fd4d7ae3a83:0xc2a4ba5e7993b602!8m2!3d14.0671475!4d100.604914!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11sdc5lfsm?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.9,190,฿1-100 ต่อคน,79.0,oc_54,ci_54,option_54,review_54,krongone,8.599090591,9.586178061,11.33706332,10.46664811,10.5400828,3.188337446,0.574771457,11.3866439,4.847165572,0,สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ รับประทานอาหารคนเดียว เหมาะกับการทำงานด้วยแล็ปท็อป กาแฟ ของหวาน Wi-Fi ความเป็นกันเอง ทันสมัย อบอุ่น นักศึกษามหาวิทยาลัย มาเป็นกลุ่ม มีที่จอดจำนวนมาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย,pos,0.0,19.0,171.0
Maidreamin Future Park,13.9886279,100.6169853,"https://www.google.com/maps/place/Maidreamin+Future+Park/@13.9796002,100.6087057,13z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LmA4LiX4LiE4LmC4LiZ4LmC4Lil4Lii4Li14Lij4Liy4LiK4Lih4LiH4LiE4Lil4LiY4Lix4LiN4Lia4Li44Lij4Li1IOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!3m6!1s0x30e281844f5286f9:0x53883e7e113b578b!8m2!3d13.9886279!4d100.6169853!15sCpgB4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LmA4LiX4LiE4LmC4LiZ4LmC4Lil4Lii4Li14Lij4Liy4LiK4Lih4LiH4LiE4Lil4LiY4Lix4LiN4Lia4Li44Lij4Li1IOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYgiA4gBAVqgASKdAeC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguYDguJfguITguYLguJnguYLguKXguKLguLUg4Lij4Liy4LiKIOC4oeC4h-C4hOC4pSDguJjguLHguI3guJrguLjguKPguLUg4Lio4Li54LiZ4Lii4LmMIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQxjb3NwbGF5X2NhZmWqAewBCg0vZy8xMWNzNWZocWM0EAEqEyIP4LiE4Liy4LmA4Lif4LmIKDUyHxABIhtTf-_4oNrStxhuV5fpXzPblJ5YOvR-UIZ4WSYyogEQAiKdAeC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguYDguJfguITguYLguJnguYLguKXguKLguLUg4Lij4Liy4LiKIOC4oeC4h-C4hOC4pSDguJjguLHguI3guJrguLjguKPguLUg4Lio4Li54LiZ4Lii4LmMIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYjgAQA!16s%2Fg%2F11svlbl6s_?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",5.0,3221,฿100-200 ต่อคน,1.0,oc_233,ci_233,option_233,review_233,rungsit,2.384115094,2.176420302,3.657183235,1.73037083,5.935518513,5.675994367,9.380863641,4.399122984,4.995501823,0,รับสินค้าโดยไม่ต้องลงจากรถ การเปิดให้บริการที่หน้าร้าน สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม การแสดงสด ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ รับประทานอาหารคนเดียว กาแฟ ค็อกเทล เหล้าดีกรีสูง แอลกอฮอล์ ของหวาน ความเป็นกันเอง ทันสมัย อบอุ่น ขาจร นักศึกษามหาวิทยาลัย พื้นที่ที่ยอมรับบุคคลข้ามเพศ มาเป็นกลุ่ม เหมาะสำหรับ LGBTQ+ เหมาะสำหรับเด็ก มีที่จอดจำนวนมาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย ที่จอดรถแบบเสียค่าใช้จ่าย,pos,0.0,0.0,2626.0
Mori Cat Cafe’,13.9652714,100.5894268,"https://www.google.com/maps/place/Mori+Cat+Cafe%E2%80%99/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281f3d6581a65:0x6930213804142078!8m2!3d13.9652714!4d100.5894268!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11tsgdl4w0?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.9,124,฿100-200 ต่อคน,40.0,oc_5,ci_5,option_5,review_5,rakhok,2.859427237,2.012611823,0.336883319,2.767693733,9.527386194,8.631304867,12.02541124,0.736471888,4.824522246,0,รับสินค้าโดยไม่ต้องลงจากรถ บริการจัดส่ง ไดรฟ์ทรู สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ รับประทานอาหารคนเดียว กาแฟ ค็อกเทล แอลกอฮอล์ อาหารมื้อสาย ของหวาน ห้องน้ำ ความเป็นกันเอง ทันสมัย อบอุ่น พื้นที่ที่ยอมรับบุคคลข้ามเพศ เหมาะสำหรับครอบครัว เหมาะสำหรับ LGBTQ+ เหมาะสำหรับเด็ก มีที่จอดจำนวนมาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย,pos,100.0,50.0,1850.0
Pai Coffee Roastery RK3 / ปายกาแฟ รังสิต คลอง3,13.9974713,100.6701939,"https://www.google.com/maps/place/Pai+Coffee+Roastery%E2%80%8B+RK3+%2F+%E0%B8%9B%E0%B8%B2%E0%B8%A2%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F+%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%873/@14.0120716,100.6313146,13z/data=!4m11!1m3!2m2!1z4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x311d7f0043181965:0xd72edc30d23c54d2!8m2!3d13.9974713!4d100.6701939!15sCiLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIWiQiIuC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11lp2r5hl3?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.9,75,฿1-100 ต่อคน,37.0,oc_133,ci_133,option_133,review_133,rungsit,8.154474831,7.962391279,9.090354364,6.660386913,0.111588659,7.759150601,10.8482542,10.01556868,4.789299294,0,รับสินค้าโดยไม่ต้องลงจากรถ จัดส่งโดยไม่สัมผัส บริการจัดส่ง สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ตัวเลือกชารสเลิศ รับประทานอาหารคนเดียว กาแฟ ความเป็นกันเอง เงียบ ทันสมัย ขาจร เหมาะสำหรับเด็ก มีที่จอดจำนวนมาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย,pos,0.0,68.0,782.0
Ratiohead Coffee Space,13.9848443,100.6381196,"https://www.google.com/maps/place/Ratiohead+Coffee+Space/@14.0120716,100.6313146,13z/data=!4m11!1m3!2m2!1z4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x311d7f5b089051c7:0x7392bf0b893630eb!8m2!3d13.9848443!4d100.6381196!15sCiLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIWiQiIuC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11s9ljx912?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.9,63,฿1-100 ต่อคน,28.0,oc_115,ci_115,option_115,review_115,rungsit,4.697228129,4.312175147,5.356052702,2.92904843,3.840625869,6.664662807,10.33378687,6.285784253,4.775015332,0,จัดส่งโดยไม่สัมผัส บริการจัดส่ง สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ รับประทานอาหารคนเดียว กาแฟ ของหวาน ห้องน้ำ ความเป็นกันเอง ทันสมัย อบอุ่น รับจอง เหมาะสำหรับเด็ก มีที่จอดจำนวนมาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย,pos,0.0,19.0,361.0
Shelter specialty coffee,13.9625357,100.5852678,"https://www.google.com/maps/place/Shelter+specialty+coffee/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e28358d706cf45:0x47f96354ac8a4d71!8m2!3d13.9625357!4d100.5852678!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11t3czph6x?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.8,147,฿100-200 ต่อคน,78.0,oc_2,ci_2,option_2,review_2,rakhok,3.272302652,2.506605327,0.863776028,3.294261683,10.05834154,9.059682308,12.39804789,0.562181706,4.751279242,0,ที่นั่งกลางแจ้ง บริการจัดส่ง สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ รับประทานอาหารคนเดียว เหมาะกับการทำงานด้วยแล็ปท็อป กาแฟ ของหวาน ที่นั่ง ห้องน้ำ ความเป็นกันเอง ทันสมัย อบอุ่น ขาจร นักศึกษามหาวิทยาลัย มาเป็นกลุ่ม มีที่จอดจำนวนมาก ที่จอดรถแบบเสียค่าใช้จ่าย ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย,pos,66.0,198.0,1958.0
Sometimebake home cafe,14.01889,100.6176904,"https://www.google.com/maps/place/Sometimebake+home+cafe/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e2817e4ff99337:0x29f4b6d7d0a5b4ae!8m2!3d14.01889!4d100.6176904!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZeABAA!16s%2Fg%2F11j6y7ztz4?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.8,120,฿100-200 ต่อคน,51.0,oc_58,ci_58,option_58,review_58,krongone,4.004193198,4.685052854,6.489079567,5.076533239,6.245040581,2.35308012,6.076438627,6.886071764,4.742509506,0,สั่งกลับบ้าน นั่งรับประทานที่ร้าน กาแฟรสชาติเยี่ยม ขนมหวานรสชาติเยี่ยม ตัวเลือกชารสเลิศ กาแฟ อาหารจานเล็ก ของหวาน ห้องน้ำ ความเป็นกันเอง ทันสมัย อบอุ่น ขาจร นักศึกษามหาวิทยาลัย มาเป็นกลุ่ม เมนูสำหรับเด็ก หาที่จอดค่อนข้างยาก ที่จอดรถแบบไม่เสียค่าใช้จ่าย ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย,,,,
