id_option_main,option
option_600,ห้องน้ำรองรับเก้าอี้รถเข็น
option_600,ที่นั่งกลางแจ้ง
option_600,บริการจัดส่ง
option_600,สั่งกลับบ้าน
option_600,นั่งรับประทานที่ร้าน
option_600,กาแฟรสชาติเยี่ยม
option_600,ขนมหวานรสชาติเยี่ยม
option_600,ตัวเลือกชารสเลิศ
option_600,รับประทานอาหารคนเดียว
option_600,เหมาะกับการทำงานด้วยแล็ปท็อป
option_600,กาแฟ
option_600,ของหวาน
option_600,ที่นั่ง
option_600,ห้องน้ำ
option_600,ความเป็นกันเอง
option_600,ทันสมัย
option_600,อบอุ่น
option_600,ขาจร
option_600,นักศึกษามหาวิทยาลัย
option_600,มาเป็นกลุ่ม
option_600,เมนูสำหรับเด็ก
option_600,เหมาะสำหรับเด็ก
option_600,มีที่จอดจำนวนมาก
option_600,ที่จอดรถแบบไม่เสียค่าใช้จ่าย
option_600,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
