id_review_main,review_rating,review_text,sentiment
review_53,5,"พอดีแวะมาลองดู
ร้านจะอยู่ปากทางเข้าหมู่บ้าน
มีที่จอดรถริมถนน ทางเข้าหมู่บ้าน …",neu
review_53,5,"คาเฟ่ที่มีมุมถ่ายรูปเยอะพอสมควรอยู่ค่ะ

แต่สิ่งที่ประทับใจคือราคาของน้ำและขนมรู้สึกว่าจะไม่แพงเหมือนคาเฟ่อื่นๆราคาขนมเริ่มต้นอยู่ที่ประมาณ 30 ถึง 35 บาทเท่านั้น  จึงทำให้ได้แวะเวียนมาที่คาเฟ่นี้บ่อยค่ะพนักงานชงน้ำรสชาติอร่อย ส่วนตัวขนมก็อร่อยไม่แพงด้วยค่ะ",pos
review_53,2,หน้าตาร้านดูดี หน้าตาอาหารดูดี แต่!!!! ไม่อร่อยสักอย่าง😭😭😭😭 กินครัวซองเป็นอย่างแรกแล้วคิดว่าเฉยๆ อย่างอื่นคงอร่อยกว่านี้ สรุป อย่างอื่นคือรสชาติไม่อร่อยหนักกว่าไปอีก กลายเป็นครัวซองอร่อยสุดแล้ว ยิ่งเค้กนะ ฮื่ออ แต่บริการกับบรรยากาศร้านสวยดีค่ะ มีที่จอดรถ,neg
review_53,5,คาเฟ่ที่บรรยากาศค่อนข้างดีมากอีกที่หนึ่ง ไม่ไกลจากตัวเมืองและกรุงเทพ กาแฟรสชาติดี เบเกอรี่มีเยอะแยะ,pos
review_53,5,บรรยากาศดีร้านสวย มีมุมให้นั่งหลายมุม กาแฟและขนมก็อร่อย และเจ้าของก็น่ารักเป็นกันเองมากค่ะ,pos
review_53,4,ร้านสวย มีแอร์และแบบสวน ที่จอดรถรอบๆเยอะ เครื่องดืมพอได้ เค้กยังไม่ถูกปากเท่าไหร่,neu
review_53,5,"แอบหาร้านยาก มองจากข้างนอกดูไม่ออกเลย ว่าเป็นคาเฟ่😅
-ภายในร้านน่ารัก มีจุดถ่ายรูปมากมาย
-เครื่องดื่ม อร่อยใช้ได้เลย ราคาไม่แพง
-ขนมน่ากินทุกอย่างเลย ราคาไม่แพงนะ
-ที่นั่งเพียงพอ มีโซน indoor outdoor เราชอบทุกโซน ทุกมุมเลย...มุมสวน มีน้ำตกด้วย
-มีที่จอดรถ หน้าร้าน
-พนักงานบริการดี ยิ้มแย้มต้อนรับ น่ารักค่ะ",pos
review_53,4,ร้านตกแต่งสวยงามลงตัว มีที่จอด ร้านใหญ่มีที่นั่งทั้งห้องแอร์ และไม่แอร์ มีน้ำตก มีโซนนั่งแบบญี่ปุ่น ถ่ายรูปได้หลายมุม ราคาไม่แพง ขนมอร่อย กาแฟกำลังงงว่าคั่วเข้มหรือไหม้ โดยรวมดี,pos
review_53,5,เป็นร้านที่ชอบมากๆชอบในบรรยากาศ กาแฟ ชอบขนมมาซ้ำรอบที่3 แล้วร้านมีการปรับมุมถ่ายรูป มีมุมเยอะนะคะ (คนในร้านเยอะพยายามไม่ถ่ายติดคน) สรุป กาแฟดี ขนมอร่อยมากค่ะ,pos
review_53,4,"ร้านสวยมากกกกกแบบตะโกน ร้านกว้างขวาง มีโซนให้นั่งหลากหลายมาก มีทั้งโซนนอกร้านและในร้าน ทั้งโต๊ะแบบญี่ปุ่น (นั่งพื้น) เก้าอี้หวาย โซนนอกร้านมีน้ำตกเล็กๆ และมีห้องทีีเป็นโซนส่วนตัว เป็นแบบกระจกใส ในร้านเหมือนหลุดมาจากบ้านฝรั่งแนวอบอุ่น ตกแต่งด้วยโทนสีน้ำตาล

มีเค้กหลากหลายชนิด มีเค้กไอติมด้วย ราคาประมาณ 80-120 บาทต่อชิ้น มีครัวซองค์ croffle ขนมปังมันฝรั่งชีส วันนี้เราสั่งชาพีช (หอมมาก) ชาไทย เค้ก red velvet เค้กชาเขียวและมาร์ชเมลโล่ (เพราะหลานชอบ อร่อยมากเลย) พี่สาวบอกว่ามีอาหารให้สั่งด้วย

พนักงานบริการดี สั่งของกลับบ้านก็ทำค่อนข้างไว รอไม่นาน

ร้านครบเครื่องมาก ทั้งมีอาหารหลัก ขนม เครื่องดื่ม มีโซนนั่งชิล โซนคุยงาน

ที่จอดรถ : หน้าร้านมีที่ให้จอดค่ะ สะดวกมาก",pos
review_54,5,ร้านดีมากๆๆๆ มู้ดดี เพลงเพราะ นั่งสบาย ยิ่งช่วงสอบร้านเปิดให้อ่านได้ถึงดึกเลย พี่ๆบาริสต้าน่ารักเป็นกันเอง บางวันร้านมีแถมขาไก่ให้กินด้วย 10 10 10000 ใครหาที่อ่านหนังสือนั่งเล่นชิลๆ ร้านนี้คือถูกต้อง อยากเล่นบอร์ดเกมกับเพื่อนที่ร้านก็มีให้ มีกีต้าร์ให้เล่นด้วยอีก 1,pos
review_54,4,สั่ง เอส เย็นหวานน้อย 95฿ แก้วไซส์ 12 ออน แก้วเล็กไปถ้าเทียบกับราคา ร้านอยู่แถวสนามกีฬาเดินขึ้นไปด้านบนร้านเล็กๆบรรยากาศดี  กาแฟก็ใช้ได้ มาตามรีวิว,neu
review_54,5,มันเริ่ด มันดี ปังกระเทียมอร่อยมาก แต่หมดไว น้อยใจจัง แต่ไม่เป็นไรให้อภัยเพราะชาเขียวออริจิ้นอร่อยเกิ๊น,pos
review_54,4,บรรยากาศสบายๆ เสียงเพลงเบาๆกับสถานที่โปร่งๆ drop ความเคร่งเครียดได้ดี,pos
review_54,5,คิดถึงบ้านเลยครับ ชาอร่อย แอร์เย็นสบาย พนักงานน่ารัก เลิฟๆๆ😘🤟🤟,pos
review_54,5,บรรยากาศดี วิวรอบร้านสวย แอร์เย็น,pos
review_54,5,บรรยากาศเหมาะแก่การอ่านหนังสือ แอร์เย็นสบาย กลิ่นกาแฟหอมมาก มัจฉะนัวสุดสุด😍😍,pos
review_54,5,ชอบกาแฟต้องมา ชอบเครื่องดื่มอร่อยๆ ต้องมาลองร้านนี้สักครั้งนะครับ ลองสักครั้งแล้วคุณจะติดใจ ในรสชาติที่อร่อยได้กลมกล่อม มีเมนูให้เลือกหลายหลาย มาลองซักครั้งนะครับ,pos
review_54,5,คาเฟ่โทนขาว บรรยากาศในร้านดีมาก มีต้นไม้รอบร้าน ทำให้ร่มรื่น ภายในร้านจัดดอกไม้เป็นแจกันน่ารัก เมนูของร้านมีให้เลือกหลายหลาย โดยเฉพาะกาแฟที่นี่ดีมากๆ พนักงานน่ารักเป็นกันเองสุดๆ มีบอร์ดเกมให้เล่นด้วย ใครกำลังมองหาคาเฟ่ในมธ ที่นี่ตอบโจทย์แน่นอน,pos
review_54,5,เดินเข้ามาร้านน่ารักมาก โทนสีขาว มีต้นไม้เยอะทำให้สดชื่นมากค่ะ มีแจก้นดอกไม้สดตามโต๊ะ ส่วนเครื่องดื่มมีให้เลือกหลากหลาย เด่นกาแฟแต่ก็มีชา โกโก้อร่อยมากกกกก  พนักงานน่ารักเป็นกันเองสุดๆ,pos
review_55,4,เป็นคาเฟ่ที่อยู่ในโครงการอะไรซักอย่างหนึ่ง การบริการถือว่าอยู่ในระดับปกติ สิ่งที่ชอบมากที่สุดคือการใช้ผักแบบออร์แกนิค พนักงานบริการดีมากน้องผู้หญิงคนหนึ่งชื่ออะไรไม่รู้ พอดีไปช่วงเที่ยงแดดร้อนมาก มีครอบครัวที่พาเด็กมาด้วยจึงทำให้เสียบรรยากาศเพราะเสียงดัง คาเฟ่นี้พาน้องหมาเข้าได้,pos
review_55,4,"ร้านจัดโล่งๆ นั่งสบาย เป็นส่วนตัว มีมุมให้นั่งทำงาน มีwifi ให้ด้วย เพลงไม่ดังมาก เหมาะมาฝังตัวทำงาน
วันที่ไปเหมือนจะมีสัมมนา เหมือนร้านจะมีห้องประชุมด้วย (อันนี้ไม่แน่ใจว่าบ.ลูกค้าข้างนอกไหม) อาจจะเป็นของบ.ที่อยู่พื้นที่ตรงนั้น
ที่สำคัญ น้องหมา น้องแมวเข้าได้ 🥰🐶😸
เค้ามีอาหารหลักด้วยนะ น่ากินมาก วันนี้สั่งเบาๆ คาลาเมลี่ บีบเลม่อนหน่อยสดชื่น ซอสจิ้มอร่อยหอมเห็ดเพิ่มรสชาติ
น้องๆที่ร้านบริการดีมากค่ะ น่ารัก ☺️",pos
review_55,4,ชาเขียว เค้กมัจฉะ รสชาติเข้มข้นดีค่ะ ราคาเครื่องดื่มแก้วละ 100++ ราคาเค้ก 100++ ขึ้นเหมือนกันค่ะ บรรยากาศดีค่ะ แต่งสวย มีโชนห้องประชุม,pos
review_55,5,"🖤คาเฟ่สีดำสไตล์ลอฟต์สุดเท่ ย่านรังสิต
แถมเป็นคาเฟ่ Pet friendly อีกด้วย 🐶
.
คาเฟ่ที่คนชอบถ่ายรูปคุมโทนต้องห้ามพลาด!!
คาเฟ่นี้อยู่ใน SYNHUB Digi-tech Community
มีพื้นจอดรถเยอะ และบริเวณตัวร้านก็มีมุมถ่ายรูปค่อนข้างจะเยอะ ภายในและภายนอกร้านเน้นการตกแต่งแบบสไตล์ loft และที่สำคัญถ่ายรูปออกมามุมไม่ซ้ำแน่นอน 🥰
.

กาแฟร้านนี้อร่อย คอนเฟิร์ม 👍🏻

📍พิกัด Kustocafe
🏡 ร้านเปิดปิด : จ.-ศ. 08.00-17.30 น. ส.-อา. 08.00-18.00 น.",pos
review_55,5,"ร้านน่ารัก พาน้องหมามาด้วยได้ค่ะ สะอาด อาหารและเครื่องดื่มอร่อยมากค่ะ💖💓
ทุกซีซั่นมีตกแต่งใหม่ไม่ซ้ำถ่ายรูปได้สวยหลายมุมค่ะ",pos
review_55,5,หลงรักความCozy พนักงานสุภาพ ใจเย็น แนะนำดี เครื่องดื่มชงอย่างละเอียด อาหารอร่อยคุ้มค่า เค้กดีที่สำคัญต้อนรับน้องหมาแบบไม่มีข้อจำกัดใดๆ,pos
review_55,3,ดีครับ เครื่องดื่มอร่อย มีมุมทำงานหลากหลายมุม แต่ควรมีการแก้ปัญหาที่ดีมากกว่านี้ที่ไม่ใช่คำว่า เชิญไปนั่งโต๊ะอื่นที่ ที่สามารถรองรับลูกค้าท่านอื่นได้ ทั้งๆที่เรากำลังใช้ปลั๊กไฟอยู่ เราสามารถย้ายได้แต่คุณควรดูสถานการณ์มากกว่าคำเขิญให้ไปนั่งโต๊ะอื่นนะครับ,neu
review_55,5,"คาเฟย่านรังสิต มีโต๊ะให้นั่งทำงานได้ทั้งแบบมาคนเดียว หรือมาเป็นกลุ่ม
มีปลั๊กไฟบางจุด

เมนูหลากหลายมีให้เลือกทั้งเครื่องดื่ม อาหารคาว และขนมสามารถนั่งทำงานได้ทั้งวัน
ช็อกโกแลตไม่เข้มข้มมาก ขนมหวานกำลังดี

มีที่จอดรถด้านหน้า",pos
