id_option_main,option
option_96,สั่งกลับบ้าน
option_96,นั่งรับประทานที่ร้าน
option_96,กาแฟรสชาติเยี่ยม
option_96,ขนมหวานรสชาติเยี่ยม
option_96,ตัวเลือกชารสเลิศ
option_96,รับประทานอาหารคนเดียว
option_96,เหมาะกับการทำงานด้วยแล็ปท็อป
option_96,กาแฟ
option_96,ของหวาน
option_96,ห้องน้ำ
option_96,ความเป็นกันเอง
option_96,ทันสมัย
option_96,อบอุ่น
option_96,มาเป็นกลุ่ม
option_96,เหมาะสำหรับเด็ก
option_96,ที่จอดรถแบบไม่เสียค่าใช้จ่าย
option_96,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
option_97,จัดส่งโดยไม่สัมผัส
option_97,บริการจัดส่ง
option_97,ไดรฟ์ทรู
option_97,สั่งกลับบ้าน
option_97,นั่งรับประทานที่ร้าน
option_97,กาแฟรสชาติเยี่ยม
option_97,ขนมหวานรสชาติเยี่ยม
option_97,ตัวเลือกชารสเลิศ
option_97,เหมาะกับการทำงานด้วยแล็ปท็อป
option_97,กาแฟ
option_97,ของหวาน
option_97,ความเป็นกันเอง
option_97,ทันสมัย
option_97,อบอุ่น
option_97,นักศึกษามหาวิทยาลัย
option_97,เหมาะสำหรับเด็ก
option_98,บริการจัดส่ง
option_98,สั่งกลับบ้าน
option_98,นั่งรับประทานที่ร้าน
option_98,กาแฟรสชาติเยี่ยม
option_98,ตัวเลือกชารสเลิศ
option_98,รับประทานอาหารคนเดียว
option_98,กาแฟ
option_98,ความเป็นกันเอง
option_98,เงียบ
option_98,ทันสมัย
option_98,อบอุ่น
option_98,ขาจร
option_98,นักศึกษามหาวิทยาลัย
option_98,มาเป็นกลุ่ม
option_98,เมนูสำหรับเด็ก
option_98,เหมาะสำหรับเด็ก
option_98,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
option_99,ห้องน้ำรองรับเก้าอี้รถเข็น
option_99,ที่นั่งกลางแจ้ง
option_99,บริการจัดส่ง
option_99,สั่งกลับบ้าน
option_99,นั่งรับประทานที่ร้าน
option_99,กาแฟรสชาติเยี่ยม
option_99,ขนมหวานรสชาติเยี่ยม
option_99,ตัวเลือกชารสเลิศ
option_99,อาหารเช้า
option_99,รับประทานอาหารคนเดียว
option_99,เหมาะกับการทำงานด้วยแล็ปท็อป
option_99,กาแฟ
option_99,เบียร์
option_99,อาหารจานด่วน
option_99,อาหารจานเล็ก
option_99,แอลกอฮอล์
option_99,อาหารเช้า
option_99,อาหารมื้อสาย
option_99,อาหารกลางวัน
option_99,ของหวาน
option_99,ที่นั่ง
option_99,ห้องน้ำ
option_99,ความเป็นกันเอง
option_99,ทันสมัย
option_99,อบอุ่น
