name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main,zone
Aprilhouse café,14.1459822,100.6274329,"https://www.google.com/maps/place/Aprilhouse+caf%C3%A9/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x311d871a743c4ffd:0xfade0a01374b5a11!8m2!3d14.1459822!4d100.6274329!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZeABAA!16s%2Fg%2F11rq1rl4f7?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.5,-191,฿100-200 ต่อคน,รายงานโดยผู้ใช้ 75 ราย,oc_53,ci_53,option_53,review_53,krongone
Hygge Cafe by StepUp,14.0671475,100.604914,"https://www.google.com/maps/place/Hygge+Cafe+by+StepUp/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e27fd4d7ae3a83:0xc2a4ba5e7993b602!8m2!3d14.0671475!4d100.604914!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11sdc5lfsm?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.9,-190,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 79 ราย,oc_54,ci_54,option_54,review_54,krongone
KUSTO CAFE,14.0030178,100.6267938,"https://www.google.com/maps/place/KUSTO+CAFE/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x311d7f111d0e4b93:0x78b8fc8bb9843776!8m2!3d14.0030178!4d100.6267938!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11rk8ty574?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.6,-168,฿100-200 ต่อคน,รายงานโดยผู้ใช้ 80 ราย,oc_55,ci_55,option_55,review_55,krongone
COF ESCAPE (Coffee shop),14.0668758,100.608406,"https://www.google.com/maps/place/COF+ESCAPE+(Coffee+shop)/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e27fa6ac81f1af:0xb80df70dc517d8f7!8m2!3d14.0668758!4d100.608406!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11h8fb57qp?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.5,-166,฿100-200 ต่อคน,รายงานโดยผู้ใช้ 50 ราย,oc_56,ci_56,option_56,review_56,krongone
THREE Coffee Roaster,14.0285924,100.6153316,"https://www.google.com/maps/place/THREE+Coffee+Roaster/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e281401f0a4b79:0x622c285d1c72c07b!8m2!3d14.0285924!4d100.6153316!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11rcyfcl45?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.9,-57,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 25 ราย,oc_57,ci_57,option_57,review_57,krongone
Sometimebake home cafe,14.01889,100.6176904,"https://www.google.com/maps/place/Sometimebake+home+cafe/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e2817e4ff99337:0x29f4b6d7d0a5b4ae!8m2!3d14.01889!4d100.6176904!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZeABAA!16s%2Fg%2F11j6y7ztz4?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.8,-120,฿100-200 ต่อคน,รายงานโดยผู้ใช้ 51 ราย,oc_58,ci_58,option_58,review_58,krongone
S.O.L.A.R Café,14.0697039,100.6013648,"https://www.google.com/maps/place/S.O.L.A.R+Caf%C3%A9/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e27febe787cdd5:0x29a5fc8d630a1007!8m2!3d14.0697039!4d100.6013648!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZeABAA!16s%2Fg%2F11fctfzytk?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.2,-218,฿100-200 ต่อคน,รายงานโดยผู้ใช้ 37 ราย,oc_59,ci_59,option_59,review_59,krongone
คลองหลวงคาเฟ่ Cafe & Restaurant,14.0647438,100.6342938,"https://www.google.com/maps/place/%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88+Cafe+%26+Restaurant/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x311d8127058f14b3:0xc8664e5e0d40a612!8m2!3d14.0647438!4d100.6342938!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11sgd13jpz?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.7,-781,,,oc_60,ci_60,option_60,review_60,krongone
CO Coffee & Restaurant,14.0647584,100.6036798,"https://www.google.com/maps/place/CO+Coffee+%26+Restaurant/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e27f5c0241f1b5:0xff468b14e1634d15!8m2!3d14.0647584!4d100.6036798!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11smhflt97?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.5,-8,,,oc_61,ci_61,option_61,review_61,krongone
Wisdom King Café,14.1161881,100.6247451,"https://www.google.com/maps/place/Wisdom+King+Caf%C3%A9/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x311d81d144e509e1:0x90d89d600f1fc067!8m2!3d14.1161881!4d100.6247451!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZeABAA!16s%2Fg%2F11hzpkm348?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.4,-231,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 15 ราย,oc_62,ci_62,option_62,review_62,krongone
RaRyne Cafe,14.0758637,100.6018511,"https://www.google.com/maps/place/RaRyne+Cafe/@14.0673117,100.6089526,13z/data=!4m11!1m3!2m2!1z4LiE4Lil4Lit4LiH4Lir4LiZ4Li24LmI4LiHIOC4hOC4suC5gOC4n-C5iA!6e5!3m6!1s0x30e27fcfcb95081d:0x3309cda944d24b81!8m2!3d14.0758637!4d100.6018511!15sCivguITguKXguK3guIfguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIWi4iLOC4hOC4peC4reC4hyDguKvguJnguLbguYjguIcg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11vc34t5hx?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D",4.7,-19,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 15 ราย,oc_63,ci_63,option_63,review_63,krongone
