id_option_main,option
option_130,บริการจัดส่ง
option_130,สั่งกลับบ้าน
option_130,นั่งรับประทานที่ร้าน
option_130,กาแฟรสชาติเยี่ยม
option_130,ขนมหวานรสชาติเยี่ยม
option_130,ตัวเลือกชารสเลิศ
option_130,รับประทานอาหารคนเดียว
option_130,กาแฟ
option_130,ของหวาน
option_130,ห้องน้ำ
option_130,ความเป็นกันเอง
option_130,ทันสมัย
option_130,อบอุ่น
option_130,ขาจร
option_130,นักศึกษามหาวิทยาลัย
option_130,มาเป็นกลุ่ม
option_130,มีที่จอดจำนวนมาก
option_130,ที่จอดรถแบบไม่เสียค่าใช้จ่าย
option_130,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
option_131,บริการจัดส่ง
option_131,สั่งกลับบ้าน
option_131,นั่งรับประทานที่ร้าน
option_131,กาแฟรสชาติเยี่ยม
option_131,ขนมหวานรสชาติเยี่ยม
option_131,ตัวเลือกชารสเลิศ
option_131,รับประทานอาหารคนเดียว
option_131,กาแฟ
option_131,อาหารจานเล็ก
option_131,ของหวาน
option_131,ห้องน้ำ
option_131,ความเป็นกันเอง
option_131,ทันสมัย
option_131,อบอุ่น
option_131,มาเป็นกลุ่ม
option_131,รับจอง
option_131,เมนูสำหรับเด็ก
option_131,เหมาะสำหรับเด็ก
option_131,มีที่จอดจำนวนมาก
option_131,ที่จอดรถแบบไม่เสียค่าใช้จ่าย
option_131,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
option_132,ทางเข้าสำหรับเก้าอี้รถเข็น
option_132,ที่จอดรถที่เก้าอี้รถเข็นสามารถใช้ได้
option_132,ห้องน้ำรองรับเก้าอี้รถเข็น
option_132,ที่นั่งกลางแจ้ง
option_132,สั่งกลับบ้าน
option_132,นั่งรับประทานที่ร้าน
option_132,กาแฟรสชาติเยี่ยม
option_132,ขนมหวานรสชาติเยี่ยม
option_132,ตัวเลือกชารสเลิศ
option_132,อาหารกลางวัน
option_132,อาหารค่ำ
option_132,รับประทานอาหารคนเดียว
option_132,เหมาะกับการทำงานด้วยแล็ปท็อป
option_132,กาแฟ
option_132,อาหารจานด่วน
option_132,อาหารจานเล็ก
option_132,อาหารมื้อดึก
option_132,อาหารเช้า
option_132,อาหารมื้อสาย
option_132,อาหารกลางวัน
option_132,อาหารค่ำ
option_132,บริการจัดเลี้ยง
option_132,ของหวาน
option_132,ที่นั่ง
option_132,ความเป็นกันเอง
option_132,เงียบ
option_132,ทันสมัย
option_132,โรแมนติก
option_132,อบอุ่น
option_132,ขาจร
option_132,มาเป็นกลุ่ม
option_132,เหมาะสำหรับครอบครัว
option_132,รับจอง
option_132,บัตรเครดิต
option_132,เก้าอี้ทานข้าวสำหรับเด็ก
option_132,เมนูสำหรับเด็ก
option_132,เหมาะสำหรับเด็ก
option_132,ที่จอดรถแบบไม่เสียค่าใช้จ่าย
option_132,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
option_133,รับสินค้าโดยไม่ต้องลงจากรถ
option_133,จัดส่งโดยไม่สัมผัส
option_133,บริการจัดส่ง
option_133,สั่งกลับบ้าน
option_133,นั่งรับประทานที่ร้าน
option_133,กาแฟรสชาติเยี่ยม
option_133,ตัวเลือกชารสเลิศ
option_133,รับประทานอาหารคนเดียว
option_133,กาแฟ
option_133,ความเป็นกันเอง
option_133,เงียบ
option_133,ทันสมัย
option_133,ขาจร
option_133,เหมาะสำหรับเด็ก
option_133,มีที่จอดจำนวนมาก
option_133,ที่จอดรถแบบไม่เสียค่าใช้จ่าย
option_133,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
option_134,ทางเข้าสำหรับเก้าอี้รถเข็น
option_134,
option_134,ที่นั่งสำหรับเก้าอี้รถเข็น
option_134,ระบุว่ามีเจ้าของเป็นผู้หญิง
