id_review_main,review_rating,review_text
review_113,5,บรรยากาศคึกคักมาก แมวเยอะเลย สนุกสนาน ช่วงที่ไป มี 42 แมว คุณแม่น่ารัก อัธยาศัยดี ต้อนรับแขกดีงาม คุณลูกชายชงกาแฟมาเสริฟ พร้อมช่วยถ่ายรูปด้วย ร้านอยู่ด้านในสุดมุมถนน มีที่จอดรถฝั่งตรงกันข้าม ขอเชิญชวนมารับแมวบำบัดกันค่ะ
review_113,4,น้องๆน่ารักค่ะ กลิ้นจะฉุนจมูกหน่อย แต่ก็ปกติแหล่ะ พอไหว ระวังน้องสวบ เพราะน้องขี้เล่น เจ้าของน่ารักค่ะ น้ำอร่อย โดยรวมโอเคค่าา
review_113,5,แมว🐱เยอะ อาหารอร่อย ราคาเป็นกันเอง เหมาะสำหรับทาสแมวทุกคน เริ่มต้นคนละ 100 บาทก็ได้เล่นกันน้องแมวแล้ว
review_113,1,"แมวน่ารักทุกตัว มีหลายแบบ หลายสี อาหารพอใช้ได้ ชาเขียวปั่นอร่อยมาก มอคค่ามีฟองนมแมวสุดน่ารัก บรรยากาศทางเข้าร้านสวย ต้นไม้เยอะ แต่มีกลิ่นตั้งแต่ทางเข้าร้าน คุณยายกับคุณลุงผู้ชายบริการดีมาก แต่คุณป้ายังไม่โอเคเท่าไร่ เข้าใจว่าไม่อยากให้ซีเรียสเรื่องแมวข่วน (จากป้ายที่บอกให้ลูกค้ามีสติ) เราเข้าใจธรรมชาติแมว แต่ไม่มีการพูดขอโทษอย่างจริงจัง ขนาดเราพูดไป 2 ครั้งว่าแมวข่วน ก็แค่มองหน้าเราเฉยๆ จนคุณยายบอกให้ไปหยิบน้ำเกลือกับเบตาดีนมาให้เรา (แต่ก็ยังให้ยามาทา ขอบคุณมากค่ะ) แถมแมวที่ข่วน ก็เป็นแมวเบงกอลที่เขาเอามาวางไว้ตรงหน้าเรา เราไม่ได้ขอ เรากำลังนั่งลูบแมวตัวที่หลับเฉยๆ ก็ยืนพูด 2 ครั้ง ให้เราให้แมวเลียกับเบงกอลและตัวอื่น จนเราต้องให้ จนวุ่นวายไปหมด จนแมวข่วน แถมตอนจะจ่ายเงินก็บอกราคาห้วนๆ “200” สุดท้าย ตอนเล่นแมวก็ได้ยินเสียงคุณลุงทะเลาะกับลูกสาวหลังร้านนานมาก ได้ยินทุกอย่าง คุณยายดุหลานด้วย เลยทำให้บรรยากาศเสียไปเลย

อัปเดต : ไปหาหมอ ฉีดยา เสียเงินเองไป 700 กว่าบาทขนาดมีประกันช่วยจ่าย อยากได้แค่คำขอโทษ จิตใจบริการที่มีต่อลูกค้า ไม่ใช่แต่จะให้ลูกค้ามีสติ ต้องเป็นฝ่ายรับให้ได้ฝ่ายเดียว"
review_113,3,บรรยากาศภายในร้านน่ารักมากๆๆ แต่กลิ่นฉี่แมวแรงไปหน่อยอยากให้มีพัดลมระบายอากาศหรือเครื่องกรอง+พื้นเหนียวไม่แน่ใจเพราะน้ำยาถูหรือป่าว โดยรวมโอเคค่ะแมวน่ารักบางตัวไม่ชอบให้จับหรืออุ้ม คุณป้าบริการดีถึงพูดจาห้วนๆไปบ้าง คุณยายน่ารักมากค่ะให้กระป๋องอาหารเม็ดมาล่อแมวด้วย ถ้าใครไม่ซีเรียสเรื่องกลิ่นแนะนำให้มาค่า cozyสุดๆ
review_113,5,น้องๆน่ารักมากอ้อนมาก เจ้าของร้านก็เป็นกันเอง
review_113,5,"คาเฟ่แมวร้านโปรด ร้านประจำ เพราะป้าเจ้าของร้านใส่ใจน้องทุกตัว รวมถึงอาหารก็ยังอร่อยอีกด้วย💖
- มีค่าเข้าคนละ 100 บาทแลกเป็นอาหารหรือเครื่องดื่มได้ตามราคาจริง ส่วนใหญ่อาหารจะราคาคาเฟ่ปกติ
- เครื่องดื่มทำมาน่ารัก มีตีฟองนมรูปน้องแมวด้วย ถ้าบางเมนูระวังน้องแมวมาแย่งเขมือบ เช่น วิปครีม หรือ กุ้ง
- แมวบางตัวน่ารักมากอุ้มได้ แต่บางตัวดุเพราะน้องถูกอุปการะมาจากบ้านที่ใจร้ายกับน้องมาก่อนเลยเป็นเด็กมีปม
- สำหรับคนที่ไม่ชอบกลิ่นน้องอาจจะต้องทำใจเพราะที่นี่กลิ่นฉี่พอสมควรเลย แต่ถ้าเลี้ยงแมวหรือชอบแมวมากๆก็รับได้
- เป็นที่พักผ่อนได้ดีเลย มีปลั๊กไฟและแอร์ นั่งทำงานได้ ไม่จำกัดเวลา แต่ถ้าวันหยุดจะคนเยอะเป็นพิเศษ
- ผู้ปกครองพาลูกหลานมาต้องดูแลใกล้ชิดนะคะ แมวค่อนข้างเยอะและแต่ละตัวนิสัยเฉพาะมากๆ เล่นกับน้องดีๆกันน้า🥹"
review_113,5,อาหารอร่อยมากครับแมวก็น่ารักทุกตัวน้องอ้อนเก่งมากบางตัว แต่มีตัวตึงประจำร้านครับฉี่ใส่ทุกคนเลย 😄😄 นั่งเล่นยาวๆได้สบายครับสำหรับคนที่ชอบแมว เจ้าของร้านเป็นกันเองสุดๆ รอบหน้าจะไปอุดหนุนใหม่ครับติดใจแล้ว
review_113,4,"- บรรยากาศ : ห้องเล็กนิดนึง ประมาณ 1 คูหา คนเข้าทีอาจจะเบียดๆ กันนิดหน่อย มีกลิ่นทรายแมวใช้แล้วและกลิ่นตัวแมว ถ้าคนไม่ชอบไม่แนะนำ
- ราคา : ค่าเข้าคนละ 100 บาท แต่นำมาเป็นส่วนลดอาหาร/เครื่องดื่มได้ ถ้าราคาเกิน 100 บาท ก็คือจ่ายส่วนต่างที่เกิน ถ้าไม่ถึง 100 บาท ก็จ่ายจำนวนเต็ม
ได้อาหารแมวเลียคนละซอง
- ที่จอดรถ : ไม่ค่อยสะดวกเนื่องจากระแวกนั้นเป็นตึกแถว ต้องหาที่จอดข้างฟุตบาทเอา
- น้องแมวบางตัวชอบสันโดน เผลอโดนใกล้ๆ พุงเมื่อไรได้ยันต์ 5 แถวกลับบ้านแน่ (โดนมาแล้ว)"
review_113,4,"แมวเยอะมากกกก น่ารัก จับได้อุ้มได้

ร้านมีกลิ่นฉี่แมว เตะจมูกพอควร

ค่าเข้า 100.- แลกอาหารเครื่องดื่มได้ตามราคา

มีขนมแมวเลีย แจกให้คนละซอง ซื้อเพิ่มได้ 25.-

พนง คุณป้าน่ารัก พูดจาดี"
