id_review_main,review_rating,review_text
review_300,1.0,พนง.หน้าตาไม่ยิ้มแย้ม ไม่ถามรหัสสมาชิกเลย ภาพรวมค่อนข้างแย่ค่ะ ไม่ประทับใจเลยค่ะ
review_300,1.0,พนักงานทำช้ามากๆภาพรวมแย่มากๆ
review_300,5.0,อร่อยมากกกก รสชาติดี ลองเกือบหมดแล้ว💘💘 …
review_301,5.0,ยินดีให้บริการ เราจะเสิร์ฟทั้งของหวานและความอร่อยค่ะ🌮🌯 …
review_301,5.0,พ่อค้าน้ารักเป็นกันเองทำอาหารอร่อย แถมเก่งด้วย
review_304,5.0,"ร้านเครื่องดื่มที่ดี.

มีชาให้เลือกมากมายและชาผสมกับกาแฟ ไม่มีร้านกาแฟหรือกาแฟเป็นหลัก มีชาให้เลือกผสมกาแฟให้คุณได้ด้วย

ฉันสั่งชานมไทยกับครีมชีส🧀  ว้าว. รสชาติน่าทึ่งมาก จริงๆ แล้วผ้าห่มครีมชีสก็น่าสนใจสำหรับฉัน

เมื่อเทียบกับราคาที่จ่ายไป มันถูกจับคู่"
review_304,5.0,positive
review_305,5.0,แอปเปิ้ลโซดา ใส่มุกป๊อปสตอเบอรี่ ครั้งต่อไปจะลองอุดหนุนเมนูนี้อีกครั้งค่ะ ขอบคุณที่เอาใจใส่ค่ะ
review_306,5.0,"ร้าน ป้าจอย ใจดี 🤍☺️
มาตามคำที่พี่บอกเลยค่ะรสชาติอาหารดีมากโดยเฉพาะเมนูคลุกฝุ่นอร่อยเลยแล้วก็เมนูที่เพิ่มเติมขึ้นมาอร่อยอร่อยอร่อยนะ  เราทานผัดฉ่าทะเลไข่ดาวเลิศเลิศเลิศเลิศเลิศเลิศเลิศเลิศเลิศเลิศชุ่มฉ่ำอร่อยดี

แล้วก็ที่สำคัญคุณลุงคุณป้าบริการดีมากๆน่ารักสุดสุดเป็นกันเองค่ะ

ร้านนี้ได้มาต้องซ้ำต่อ
ราคาก็ย่อมเยาว์เหมาะกับทุกๆท่าน ไม่ว่าจะศึกษาหรือบุคคลทำงาน

พื้นที่ในการจอดรถมีทางด้านหน้าและด้านในค่ะ

🌻⭐️⭐️⭐️⭐️⭐️"
review_306,5.0,รสชาติอาหารอร่อยทุกอย่าง ทำอาหารรวดเร็วว่องไว ราคาจับต้องได้ เมนูอาหารส่วนใหญ่ราคาเบาๆ แล้วรสชาติดี ถ้ามีโอกาสผ่านมาจะแวะมาทานอีกค่ะ
review_306,3.0,ร้านป้าจอยตามสั่ง ย่านเมืองเอก ถึงก่อนแยกวุ่นวาย ร้านบ้านๆ แต่น่าจะถูกใจนักศึกษา ม.รังสิต เพราะให้เยอะ ราคาดี 50 บาท จานเดียวน่าจะอิ่มเลย เมนูแนะนำ คือข้าวราดทะเลคลุกฝุ่น กับกะเพราขาหมู อร่อยดีนะ
review_306,5.0,ทะเลคลุกฝุ่น  รสชาติดีมาก กุ้ง ปลาหมึก กับ กระเพรา ทำจนกรอบเรียบร้อยแล้ว ค่อยเอามาผัด  อร่อยแบบไม่เหมือนใคร😋 ราคา50-70 บาท
review_306,5.0,อาหารอร่อยมากครับ แนะนำคลุกฝุ่นครับ มันคือผัดดะเพราที่นำทุกอย่างไปทอดกรอบ
review_306,5.0,พอใช้ได้
review_306,4.0,"เมนู ""คลุกฝุ่น"" อร่อยมาก"
review_306,5.0,อร่อยมากค่ะ
review_306,5.0,positive
review_306,5.0,positive
review_306,4.0,positive
review_306,5.0,positive
review_307,5.0,กาแฟและเค้กอร่อยมาก บรรยากาศดี แนะนำครับร้านนี้
review_307,5.0,วันนี้มีโอกาสเข้ามาที่ม.รังสิต เจอร้านนี้เลยแวะมาทาน คาปูเย็น สั่งหวานปกติ แต่ส่วนตัวยังรู้สึกว่าความหวานมัน ยังน้อยไปหน่อย แต่ก็ยังอยู่ในเกณฑ์ดี พนักงานพูดจาและบริการดี แม้คนจะเยอะและวุ่นวายมากก็ตาม
review_307,5.0,กาแฟรสชาติดีมากค่ะ  อร่อยกลมกล่อม
review_307,4.0,"กาแฟหอม
อยู่ชั้นล่างอาคารเรียน
ใกล้หอพัก"
review_307,5.0,ร้านน่านั่ง บรรยากาศดี พนักงานขายน่ารัก บริการดี
review_307,5.0,"ห่างจากบริเวณโรงอาหาร ม.รังสิต เพียงเล็กน้อยจึงทำให้มีนักศึกษาน้อยทำให้รู้สึกผ่อนคลายมากขึ้น

แม้ว่าคาเฟ่จะดูเล็กเมื่อมองแวบแรก แต่ก็มีที่นั่งมากกว่า 16 คนและสามารถรองรับลูกค้าจำนวนมากได้อย่างน่าประหลาดใจ

ขอแนะนำสำหรับมาตรการความสะอาดและการระบายอากาศ แม้ว่าจะเกิดภัยพิบัติโคโรนาก็ตาม"
review_307,4.0,ทำเลดี
review_307,4.0,positive
review_309,5.0,อาหารคลีน ที่ตลาดสัมมากรเมืองเอก สดใหม่ทุกวัน
review_309,3.0,positive
review_310,1.0,"นี่เป็นประสบการณ์ที่แย่มาก!

เว็บไซต์สั่งอาหารผ่าน QR Code มีปัญหา ไม่รู้ว่าใครเป็นคนสั่ง …"
review_310,2.0,ให้อาหารไม่ค่อยใจเท่าไหร่ สั่งลาบไก่ก็ใส่เครื่องในมาแซม สั่งซุบเนื้อก็ใส่เอ็นมาอย่างเยอะเนื้อติ๊ดนึง สั่งต้มยำไก่ก็มีแต่เศษไก่ แนะนำให้ใจกับลูกค้าหน่อยครับ ไม่อยากซํ้าถ้าไม่มีทางเลือกจริงๆ
review_310,4.0,อาหารอร่อย บรรยากาศร้านโปร่ง โล่ง นั่งสบาย😌 …
review_311,5.0,ดีมากๆๆๆ พนังงานน่ารักบริการดีค่ะ ร้านเปิดดึก เหมาะกับเด็กหอแบบหนูสุดๆๆๆ
review_311,5.0,อร่อยมากๆครับ
review_311,5.0,มันอร่อยมาก
review_313,2.0,"ปกติทานชาเขียวนมสดปั่นของอเมซอนบ่อยมาก ไปจังหวัดไหนๆก็เมนูนี้ แต่มาสาขานี้ สั่งชาเขียวนมสดปั่น บอกพนง.ว่า ขอปั่นละเอียดหน่อย(คือบางสาขาปั่นไม่ละเอียด เวลาทานจะมีน้ำแข็งเปนเกล็ดๆ)  แต่พอตอนรับของก้อแอบอึ้งไปสักพัก เลยถามพนง.ว่า ""ขอโทษนะคะ มันไม่เต็มแก้วรึป่าวคะ"" พนักงานตอบมา อึ้งหนักกว่าเดิม ""อ่อ..ของลูกค้าสั่งแบบปั่นละเอียด น้ำแข็งก้อจะน้อยแบบนี้อหละค่ะ""  เราก้อเดินออกมามึนๆ แต่ก้อมานั่งนึก.. ว่ากินสาขาอื่นๆ สั่งแบบเดียวกันทำไมไม่เห็นเปนแบบนี้เลย  เราขอปั่นละเอียดนะ ไม่ได้ขอน้ำแข็งน้อย ..#ทุกวันนี้ก้อยังข้องใจอยุ่

ปล. ภาพนี้เป็นของ #คาเฟ่อเมซอนเทสโก้โลตัสรังสิต นะคะ ลง location คลาดเคลื่อนไป ขออภัยด้วยค่ะ"
review_313,1.0,รอคิวช้าแล้วยังโดนข้ามคิวอีก พอขอคืนเงินพนักงานก็ทำหน้างงๆใส่อีก สรุปเสีย70บาทฟรีๆ เฟลมากค่ะ
review_313,3.0,น่าอร่อยๆๆๆๆๆ. มาก
review_313,5.0,ร้านกาแฟ ในเซียร์
review_313,5.0,ชอบมากกกกกกก
review_313,5.0,positive
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
review_320,1.0,อาหารไม่ตรงปก สั่งออนไลน์ก็ช้ากว่าจะได้อาหาร เเถมรสชาติยังไม่ดีด้วย ถ้าจะกินร้านนี้ราคาขนาดนี้กินข้างทางยังอร่อยกว่า
review_320,1.0,"สั่งมาสองแก้ว ทางร้านทำรสชาติออกมาจืดมากเลย
น้ำแข็งก็ให้น้อยเกิน(เข้าใจนะครับว่าอยากให้ปริมาณน้ำเยอะ)แต่เวลาเราสั่งเย็นแล้วน้ำมันไม่เย็นให้"
review_320,1.0,คุณภาพอาหารแย่มากๆ สังขยาทำจากผงชาเขียวเอามาละลายน้ำกับนม เหลวๆ ขนมปังเหมือนอาหารปลา
review_320,1.0,รอนานมากค่ะ อาหารสั่งไปไม่กี่อย่างทำนานมาก
review_320,1.0,ห่วยแตก อาหารไม่ได้เรื่อง รอนานรสชาติหมาไม่แดก
review_320,5.0,positive
review_320,1.0,nagative
review_321,1.0,เมื่อวานได้ลองเปิดใจกินร้านสาขา2ข้างหลัง ให้พนักงานไม่เป็นงานอยู่คนเดียว สั่งน้ำ2แก้วตอน12:30 ได้น้ำแก้วแรกตอน13:30 นี่ก็มีนัดเลยจะแวะซื้อเพราะจำเป็นเสียเวลามากๆ พนักงานก็เงอะงะ รสชาตก็เฉยๆ แถมราคาแพง 60++
review_321,1.0,สั่งกาแฟมอคค่าขั้วกลางได้ขั้วเข็มตอนไปซื้อก็ไม่ได้บัตรสะสมคะแนนแต่ลูกค้าคนอื่นได้บริการลูกค้าไม่เหมือนกันราคาไม่สมเหตุผลแก้วล่ะ 80+ ไปซื้อ Amazon หรือร้านติดแบรนด์ได้เลยควรปรับราคาลงมาสักแก้วล่ะ 40-60 กําลังดีพนักงานเอาเพื่อนมานั่งในร้านคุยไปชงกาแฟไปทําให้มีชงกาแฟผิดกดช็อตเกินส่วนที่กดเกินก็ชงกาแฟให้เพื่อนทานที่นั่งในร้านเต็มลูกค้าคนอื่นซื้อกาแฟเสร็จคือต้องออกมาเลย
review_321,1.0,พนักงานไม่ได้เลยค่ะ คัดคนหน่อย
review_321,5.0,positive
review_322,5.0,บรรยากาศดีมากกตอนนี้มีที่นั่งริมน้ำแล้วด้วยย
review_322,5.0,กาแฟอร่อย เจ้าของร้านน่ารัก
review_322,5.0,positive
review_322,5.0,positive
review_323,1.0,"ปกติเป็นคนชอบกิน einspanner ของที่นี่มากก็อุดหนุนมาตลอดแค่เป็นสาขาหน้าเมืองเอก แล้วเพิ่งเห็นว่าสาขาหลังมอมีด้วยเลยเข้าไปสั่ง พนักงานผช.บอก “หมด” คำเดียวเลย ตอนนั้นก็ไม่อะไรแล้วก็ออกมา จนกระทั่งวันนี้ไปกับรุ่นพี่แล้วก็สั่งเมนูเดิม พี่ผญ.ที่รับเมนูพูดจาดีมากบอกว่าหมดแล้ว แต่ผช.สองคนนั้นพูดออกมาว่า “จะกินให้ได้เลยใช่มั้ย” พี่ผญ.ก็พูดว่า “เขาอุตส่ามากินจะให้พูดแบบนั้นได้ไง” และผชพูดว่า “เมนูนี้เลิกผลิตทุกสาขาไปแล้ว“

ผมเลยอยากมาสอบถามทุกคนครับว่า เมนูนี้เลิกผลิตจริงมั้ยและพอมีเพจทางร้านไหมครับ ไม่ได้อยากโจมตีร้านครับ แค่ไม่อยากให้ร้านที่ขายกาแฟดีๆแบบนี้ มีพนักงานไร้การอบรมมารยาทการบริการขั้นพื้นฐานครับ"
review_323,5.0,ร้านกาแฟ j coffee ที่มีอยู่ได้ทั่วไปมีหลายสาขาหลายที่ รสชาติมาตรฐานแต่สาขานี้คนค่อนข้างเยอะส่วนมากเป็นเด็กมรังสิตมานั่งทำงานซะ 90% หาที่จอดรถลำบากนิดนึง
review_323,4.0,"คาเฟ่แนวเท่ห์ๆ ที่นั่งเยอะคะ บรรยากาศเงียบดี
ทางร้านมีเมล็ดกาแฟให้เลือกเยอะคะ แล้วแต่ชอบแนวไหน
สั่งdirty กับ ลาเต้เย็น กาแฟรสชาติดีคะ เมล็ดดี บาริสต้าชงอร่อย😊
ครัวซองท์อร่อยคะ ข้างในฉ่ำเนย แต่ข้างนอกเกรียมไปนิดนึงคะ😄 …"
