name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main
Fineday Cafe' coffee&dessert,13.9677144,100.5879641,"https://www.google.com/maps/place/Fineday+Cafe'+coffee%26dessert/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281aeb0aa70d3:0xbcbc53315098116a!8m2!3d13.9677144!4d100.5879641!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11mtrxw6g8?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",5.0,(1),,,oc_35,ci_35,option_35,review_35
เด็กหญิงลาเต้ - Dekying Latte,13.9670601,100.5881753,"https://www.google.com/maps/place/%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%81%E0%B8%AB%E0%B8%8D%E0%B8%B4%E0%B8%87%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89+-+Dekying+Latte/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281418336465d:0xfd987139aece7a37!8m2!3d13.9670601!4d100.5881753!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11rv2v442t?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.3,(3),,,oc_36,ci_36,option_36,review_36
All Time Cafe,13.9647952,100.5837483,"https://www.google.com/maps/place/All+Time+Cafe/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e28186454400e1:0xfedae20480ce64d5!8m2!3d13.9647952!4d100.5837483!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSGJsQlRlV1ZSRUFF4AEA-gEECAAQIg!16s%2Fg%2F11dzt1bc01?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.2,(48),,,oc_37,ci_37,option_37,review_37
HAKA Coffee & Sweet,13.9629913,100.5872197,"https://www.google.com/maps/place/HAKA+Coffee+%26+Sweet/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e2818842924015:0x83a8baf1fcfa1ef8!8m2!3d13.9629913!4d100.5872197!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F1hm5npl77?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,,,,oc_38,ci_38,option_38,review_37
Incognito Cafe TH,13.9629956,100.5872253,"https://www.google.com/maps/place/Incognito+Cafe+TH/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e2816207cf57a1:0xf00b1cff4a32774f!8m2!3d13.9629956!4d100.5872253!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11vswwx2tw?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.9,(19),฿1-100 ต่อคน,รายงานโดยผู้ใช้ 8 ราย,oc_39,ci_39,option_39,review_39
กาแฟ Cuppitano Coffee,13.964253,100.5920613,"https://www.google.com/maps/place/%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F+Cuppitano+Coffee/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281c52498eaed:0xbd229b43146842d8!8m2!3d13.964253!4d100.5920613!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11vdf8233j?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",5.0,(12),฿100-200 ต่อคน,รายงานโดยผู้ใช้ 4 ราย,oc_40,ci_40,option_40,review_40
ใบชาเบตง,13.9625407,100.5852718,"https://www.google.com/maps/place/%E0%B9%83%E0%B8%9A%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%9A%E0%B8%95%E0%B8%87/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e28187dd5038bf:0xe8dd5e3c0400c019!8m2!3d13.9625407!4d100.5852718!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11c2pgr2p3?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,,,,oc_41,ci_41,option_41,review_41
coffee o'clock café on truck,13.9684,100.5850827,"https://www.google.com/maps/place/coffee+o'clock+caf%C3%A9+on+truck/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e28100025318ad:0x27c226358631095e!8m2!3d13.9684!4d100.5850827!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11vw_tph9c?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,,,,oc_42,ci_42,option_42,review_41
KAMU เมืองเอก ม.รังสิต,13.9638389,100.594026,"https://www.google.com/maps/place/KAMU+%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AD%E0%B8%81+%E0%B8%A1.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e2811ea30580a7:0x398980fcd7eb4f6f!8m2!3d13.9638389!4d100.594026!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11hd_9kzv7?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.7,(41),฿1-100 ต่อคน,รายงานโดยผู้ใช้ 8 ราย,oc_43,ci_43,option_43,review_43
Dairy Hut,13.9649309,100.5887118,"https://www.google.com/maps/place/Dairy+Hut/@13.9650643,100.5890858,17.67z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e2810ea9d5f60f:0xf942fc1e7a991761!8m2!3d13.9649309!4d100.5887118!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEOaWNlX2NyZWFtX3Nob3DgAQA!16s%2Fg%2F11n5v8mxxc?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,,,,oc_44,ci_44,option_44,review_43
