id_option_main,option
option_14,บริการจัดส่ง
option_14,สั่งกลับบ้าน
option_14,นั่งรับประทานที่ร้าน
option_14,กาแฟรสชาติเยี่ยม
option_14,ขนมหวานรสชาติเยี่ยม
option_14,ตัวเลือกชารสเลิศ
option_14,รับประทานอาหารคนเดียว
option_14,กาแฟ
option_14,อาหารจานเล็ก
option_14,ของหวาน
option_14,ความเป็นกันเอง
option_14,ทันสมัย
option_14,อบอุ่น
option_14,ขาจร
option_14,รับจอง
option_14,เมนูสำหรับเด็ก
option_15,สั่งกลับบ้าน
option_15,นั่งรับประทานที่ร้าน
option_15,กาแฟรสชาติเยี่ยม
option_15,ตัวเลือกชารสเลิศ
option_15,กาแฟ
option_15,ความเป็นกันเอง
option_15,ขาจร
option_15,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
option_22,สั่งกลับบ้าน
option_22,นั่งรับประทานที่ร้าน
option_22,กาแฟรสชาติเยี่ยม
option_22,ขนมหวานรสชาติเยี่ยม
option_22,ตัวเลือกชารสเลิศ
option_22,รับประทานอาหารคนเดียว
option_22,กาแฟ
option_22,อาหารจานเล็ก
option_22,อาหารกลางวัน
option_22,ของหวาน
option_22,ห้องน้ำ
option_22,ความเป็นกันเอง
option_22,อบอุ่น
option_22,ขาจร
option_22,มาเป็นกลุ่ม
option_22,รับจอง
option_22,เมนูสำหรับเด็ก
option_22,เหมาะสำหรับเด็ก
option_22,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย
